Product Page_url,Product Image_url,Image_Large,Product Name,Product Title,Product Listing Title,Brand,Catalog Number,Model/Part Number,Base Unit of Measure,Family,Series,Heating Capacity,Heating Efficiency,Configuration,Blower Size,Gas Stages,Blower Type,Product Voltage,Product Depth,Product Width,Product Height,Gross Weight,Type,Energy Star Certified,Low Nox
https://www.lennoxpros.com/ml193uh045xe36b-93afue-upflow-horizontal-gas-furnace/p/17A52,https://images.lennoxpros.com/is/image/LennoxIntl/17A52?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/17A52,Lennox ML193UH045XE36B Furnace,"Lennox Merit ML193E, ML193UH045XE36B, 93% AFUE, 44000 BTU, 3 Ton, 1 Stage Heat, Constant Torque Upflow/Horizontal Gas Furnace",Lennox ML193UH045XE36B 1 Stage Heat Furance,Lennox,17A52,ML193UH045XE36B,Unit(S),ML193UHE,Merit,44000 Btuh,93% AFUE,Upflow/Horizontal,3 Ton,1 Stage Heat,Constant Torque,115 VAC 1 Ph 60 Hz,27.75 Inch,17.5 Inch,33 Inch,129 lbs.,,Yes (U.S. South),Low NOx
https://www.lennoxpros.com/ml180uh090e60c-80afue-upflow-horizontal-gas-furnace-5ton/p/79W74,https://images.lennoxpros.com/is/image/LennoxIntl/79W74?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/79W74,Lennox ML180UH090E60C Furnace,"Lennox Merit ML180E, ML180UH090E60C, 80% AFUE, 88000 BTU, 5 Ton, 1 Stage Heat, Constant Torque Upflow/Horizontal Gas Furnace",Lennox ML180UH090E60C 1 Stage Heat Furance,Lennox,79W74,ML180UH090E60C,Unit(S),ML180E,Merit,88000 Btuh,80% AFUE,Upflow/Horizontal,5 Ton,1 Stage Heat,Constant Torque,115 VAC 1 Ph 60 Hz,27.75 Inch,21 Inch,33 Inch,152 lbs.,1-Stage Constant Torque Horizontal Gas Furnace,No,
https://www.lennoxpros.com/ml180uh110e60c-80afue-upflow-horizontal-gas-furnace-5ton/p/81W24,https://images.lennoxpros.com/is/image/LennoxIntl/81W24?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/81W24,Lennox ML180UH110E60C Furnace,"Lennox Merit ML180E, ML180UH110E60C, 80% AFUE, 110000 BTU, 5 Ton, 1 Stage Heat, Constant Torque Upflow/Horizontal Gas Furnace",Lennox ML180UH110E60C 1 Stage Heat Furance,Lennox,81W24,ML180UH110E60C,Unit(S),ML180E,Merit,110000 Btuh,80% AFUE,Upflow/Horizontal,5 Ton,1 Stage Heat,Constant Torque,115 VAC 1 Ph 60 Hz,27.75 Inch,21 Inch,33 Inch,160 lbs.,1-Stage Constant Torque Horizontal Gas Furnace,No,
https://www.lennoxpros.com/ml180df070e36b-80afue-downflow-gas-furnace-3ton/p/79W75,https://images.lennoxpros.com/is/image/LennoxIntl/79W75?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/79W75,Lennox ML180DF070E36B Furnace,"Lennox Merit ML180E, ML180DF070E36B, 80% AFUE, 66000 BTU, 3 Ton, 1 Stage Heat, Constant Torque Downflow Gas Furnace",Lennox ML180DF070E36B 1 Stage Heat Furance,Lennox,79W75,ML180DF070E36B,Unit(S),ML180E,Merit,66000 Btuh,80% AFUE,Downflow,3 Ton,1 Stage Heat,Constant Torque,115 VAC 1 Ph 60 Hz,27.75 Inch,17.5 Inch,33 Inch,128 lbs.,1-Stage Constant Torque Downflow Gas Furnace,No,
https://www.lennoxpros.com/ml180uh045e36a-80afue-upflow-horizontal-gas-furnace-3ton/p/81W21,https://images.lennoxpros.com/is/image/LennoxIntl/81W21?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/81W21,Lennox ML180UH045E36A Furnace,"Lennox Merit ML180E, ML180UH045E36A, 80% AFUE, 44000 BTU, 3 Ton, 1 Stage Heat, Constant Torque Upflow/Horizontal Gas Furnace",Lennox ML180UH045E36A 1 Stage Heat Furance,Lennox,81W21,ML180UH045E36A,Unit(S),ML180E,Merit,44000 Btuh,80% AFUE,Upflow/Horizontal,3 Ton,1 Stage Heat,Constant Torque,115 VAC 1 Ph 60 Hz,27.75 Inch,14.5 Inch,33 Inch,111 lbs.,1-Stage Constant Torque Horizontal Gas Furnace,No,
https://www.lennoxpros.com/ml180uh070e36b-80afue-upflow-horizontal-gas-furnace-3ton/p/81W23,https://images.lennoxpros.com/is/image/LennoxIntl/81W23?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/81W23,Lennox ML180UH070E36B Furnace,"Lennox Merit ML180E, ML180UH070E36B, 80% AFUE, 66000 BTU, 3 Ton, 1 Stage Heat, Constant Torque Upflow/Horizontal Gas Furnace",Lennox ML180UH070E36B 1 Stage Heat Furance,Lennox,81W23,ML180UH070E36B,Unit(S),ML180E,Merit,66000 Btuh,80% AFUE,Upflow/Horizontal,3 Ton,1 Stage Heat,Constant Torque,115 VAC 1 Ph 60 Hz,27.75 Inch,17.5 Inch,33 Inch,127 lbs.,1-Stage Constant Torque Horizontal Gas Furnace,No,
https://www.lennoxpros.com/ml180uh070e36a-gas-furnace/p/18U90,https://images.lennoxpros.com/is/image/LennoxIntl/18U90?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/18U90,Lennox ML180UH070E36A Furnace,"Lennox Merit ML180E, ML180UH070E36A, 80% AFUE, 66000 BTU, 3 Ton, 1 Stage Heat, Constant Torque Upflow/Horizontal Gas Furnace",Lennox ML180UH070E36A 1 Stage Heat Furance,Lennox,18U90,ML180UH070E36A,Unit(S),ML180E,Merit,66000 Btuh,80% AFUE,Upflow/Horizontal,3 Ton,1 Stage Heat,Constant Torque,115 VAC 1 Ph 60 Hz,27.75 Inch,14.5 Inch,33 Inch,111 lbs.,1-Stage Constant Torque Horizontal Gas Furnace,No,
https://www.lennoxpros.com/ml296uh090xv48c-96afue-gas-furnace/p/17H12,https://images.lennoxpros.com/is/image/LennoxIntl/17H12?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/17H12,Lennox ML296UH090XV48C Furnace,"Lennox Merit ML296V, ML296UH090XV48C, 96% AFUE, 88000 BTU, 4 Ton, 2 Stage Heat, Variable Speed Upflow/Horizontal Gas Furnace",Lennox ML296UH090XV48C 2 Stage Heat Furance,Lennox,17H12,ML296UH090XV48C,Unit(S),ML296V,Merit,88000 Btuh,96% AFUE,Upflow/Horizontal,4 Ton,2 Stage Heat,Variable Speed,115 VAC 1 Ph 60 Hz,27.75 Inch,21 Inch,33 Inch,154 lbs.,,Yes,Low NOx
https://www.lennoxpros.com/ml180uh090e48b-80afue-upflow-horizontal-gas-furnace-4ton/p/79W72,https://images.lennoxpros.com/is/image/LennoxIntl/79W72?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/79W72,Lennox ML180UH090E48B Furnace,"Lennox Merit ML180E, ML180UH090E48B, 80% AFUE, 88000 BTU, 4 Ton, 1 Stage Heat, Constant Torque Upflow/Horizontal Gas Furnace",Lennox ML180UH090E48B 1 Stage Heat Furance,Lennox,79W72,ML180UH090E48B,Unit(S),ML180E,Merit,88000 Btuh,80% AFUE,Upflow/Horizontal,4 Ton,1 Stage Heat,Constant Torque,115 VAC 1 Ph 60 Hz,27.75 Inch,17.5 Inch,33 Inch,142 lbs.,1-Stage Constant Torque Horizontal Gas Furnace,No,
https://www.lennoxpros.com/ml296uh045xv36b-96afue-gas-furnace/p/17H10,https://images.lennoxpros.com/is/image/LennoxIntl/17H10?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/17H10,Lennox ML296UH045XV36B Furnace,"Lennox Merit ML296V, ML296UH045XV36B, 96% AFUE, 44000 BTU, 3 Ton, 2 Stage Heat, Variable Speed Upflow/Horizontal Gas Furnace",Lennox ML296UH045XV36B 2 Stage Heat Furance,Lennox,17H10,ML296UH045XV36B,Unit(S),ML296V,Merit,44000 Btuh,96% AFUE,Upflow/Horizontal,3 Ton,2 Stage Heat,Variable Speed,115 VAC 1 Ph 60 Hz,27.75 Inch,17.5 Inch,33 Inch,122 lbs.,,Yes,Low NOx
